index,대화0,대화1,대화2,대화3,대화4,대화5,대화6,대화7,대화8,대화9
41,머리가 조금 어지러운 것 같아,(손가락으로 원을 그리고 있다.),(손가락을 쳐다보고 있다. 꼼지락거리고 있다.),나는 ... 잘못된 걸까?,(표정이 조금 풀린 것 같다.),(손바닥과 발바닥을 비교하고 있다. 생각보다 작아 보인다.),Z눈을 감고 빗소리를 차분하게 들어봐 |한다|마음이 편해지는 기분이 들지 않니?|안 한다|언제 한번 들어봐. 그럼 마음이 편해질 거야,밤에 잘 잔 거 같아. 머리가 아프거나 어지러운 게 많이 사라졌어,식물을 키운다는 것은 인내와 정성이지. 언젠가 꼭 피어나는 것을 아니까,항상 조심하면서 행동을 하면 무언가 일어나는 일에 대비할 수 있어서 좋겠지
42,(천장에 거미를 보고 있다.),(쳐다보니 눈을 돌린다.),(창밖을 바라보며 한숨을 쉬고 있다.),(눈이 조금 부어보인다..힘들어 보인다.),화면 속에 사람들이 행복한 것처럼 나도 행복한 날이 올까,상자를 뒤지다가 인형을 찾았는데 곰팡이가 잔뜩 피어서 버렸어,먹구름은 크게 나쁘지 않지만 천둥 치면 조금 무서워,천둥이 치기 전에 반짝이면 나도 모르게 긴장을 해. 언제 칠지 모르니까,저번에 통조림을 잘못 까서 부엌 여기저기에 음식물이 묻은 적이 있어. 조심해야겠어,계속 앉아있으니 몸이 뻐근해. 이따가 산책하러 가야겠어
43,(한숨을 쉬자 먼지가 날아간다.),시간이 느리게 가는 것 같아,(배가 고픈지 배를 쓰다듬고 있다.),일부러 조용한 곳으로 이사를 왔어. 편해지고 싶거든,영화를 보러 가기엔 귀찮고 돈도 들어서 가고 싶은 마음은..,밤하늘에 별을 본 지가 ..기억이 나질 않아,(방구석을 한참 쳐다보다가 창문을 바라본다.),(머리를 가볍게 움직이고 있다. 정리를 하고 있는 거 같다.),항상 조심하면서 행동을 하면 무언가 일어나는 일에 대비할 수 있어서 좋겠지,길을 지나가다 듣기 좋은 음악을 들었던 적이 있어. 제목이 뭔지 궁금해
44,(눈을 감고 있다.),(별다른 관심이 없어 보인다.),언젠가 벽지가 깨끗해지는 날이 올까,사람들은 무엇을 하며 살고 있을까 나처럼 사는 사람들이 있을지 궁금해,노래를 들으면 기분이 좋아져 너도 꼭 해봐,명상하기 좋은 날이야 ...너도 눈을 감고 명상해봐,귀찮은 것을 아직 다 떨쳐내지는 못하지만 ..지금보단,창밖에서 가끔 고양이 소리를 들을 때가 있어. 이 근처를 지나가는 걸까,나는 이제 조금은 행복한 삶을 살고 있다고 생각해. 완벽한 삶은 아니어도 상관없지,신나는 노래를 들으면 나도 모르게 어깨가 들썩거려 ..춤까지 추기에는 큼..
45,(먼지를 터는 중),이렇게라도 하면 뭔가 달라지는 걸까,조용한 곳에서 조용히 쉬는 것도 좋을 거라고 생각해,Z이렇게라도 달라진다면 ..무슨 일이 생길까?|응|그런가. 하다 보면 알게 되겠지 ..언젠가는 말이야|아니|그렇다면 의미 없는 시간을 보내는 걸까?,사람들은 틀리다고 말하지만 답은 정해져 있지 않은데..,거울 속의 나를 보면 ..생각을 해볼 필요가 있어,거울에 비친 내 모습을 피해서는 안 돼. 똑바로 바라보는 연습을 해야겠어,Z내 첫인상과 지금 인상이 얼마나 달라졌을까 ..궁금하기도 하고|많이|많이 바뀌었다니 예전에는 어떤 모습으로 보였을지..|조금|적어도 안 바뀐 것은 아니구나 ..음,길을 지나가다 듣기 좋은 음악을 들었던 적이 있어. 제목이 뭔지 궁금해,영어를 배우려고 사전을 폈는데 모르는 단어가 많아서 다시 덮었어
46,방이 흠..,내가 이러고 있는 동안에도 시간은 계속 흘러가는구나,잔잔한 음악을 듣는다면 내 마음이 편해질까,가끔 TV를 보면 거기에 나오는 사람들은 행복해 보여,누군가에게 표현한다면 내 마음이 조금이라도 편해질까,이런 날씨에는 선크림도 필요 없겠지만 언젠가 필요하겠지,배고프면 음식을 먹어야지. 목이 마르면 물을 마시듯이,생각해서 말을 한다는 것은 어려운 일이야. 앞으로도 그렇고,신나는 노래를 들으면 나도 모르게 어깨가 들썩거려 ..춤까지 추기에는 큼..,높은 곳과 낮은 곳은 언제나 차이가 있는 법이야
47,(손을 비비고 있다.),배터리는 충분하니?,(왼쪽을 쳐다보다가 오른쪽을 쳐다본다.),여기에는 보일러가 없어서 물이 차가워,달라지는 날이 온다면 나에게 변하는 무언가 생길 거야,TV 속의 사람들처럼 나에게도 언젠가 행복이 찾아오겠지,밤에 산책하러 나가면 같은 장소라도 낮과는 다른 매력을 가지고 있어,요즘 사람들이 얼굴을 마주 보며 대화하는 시간이 얼마나 될까,영어를 배우려고 사전을 폈는데 모르는 단어가 많아서 다시 덮었어,(주먹을 쥐었다가 피고 있다. 손가락을 풀고 있다.)
48,앗 차가워.. 위에서 물방울이..,뭐라도 해야 하는 걸까,(인상을 찌푸리다가 이내 표정을 고쳐잡는다.),물이 차가운 것에 대해 아직 익숙해지지 않았어 ,사다리를 타다가 새끼발가락을 찍혀서 혼났어 ..정말 아팠어,어릴 때 눈이 무릎까지 쌓일 만큼 온 적이 있었어. 재밌게 놀았었지,행복한 꿈을 꾸는 빈도가 더 늘어나는 거 같아. 좋은 징조인 걸까,시야를 넓힌다는 것은 어렵고 힘든 일이야,더 높은 곳을 쳐다보고 싶어. 더 높이,(작게 하품하다가 눈이 마주치자 눈웃음을 친다.)
49,바닥이 축축한 기분이야,신발이 하나밖에 없어,마음속에서 계속 비가 내리는 기분이야 ,영화를 안 본 지 오래되었어 ..언제였는지 기억이,좋아하는 옷에 구멍이 나면 안타깝더라 ..어쩔 수 없지,어릴 때 시골에서 밤하늘을 쳐다봤는데 은하수를 봤었어 ..물론 그 뒤로 본 적은 없지,Z(어딘가에서 시선이 느껴진다.) |쳐다본다|(시선이 느껴져 쳐다봤다. 나를 보고 있다.)|무시한다|(느껴지는 시선이 이내 사라졌다.),아이들을 보면 언제나 즐거워 보여. 부러운 부분이야,(주먹을 쥐었다가 피고 있다. 손가락을 풀고 있다.),세상에 의미 없는 것은 없어. 자세히 들여다보면 의미가 있을 수 있으니까
50,시간이 느리게 가는 것 같아,밥은 거의 사 먹는 편이야,365일 1년 내내 비는 그치지 않을 거야,전에 잃어버렸던 물건이 여기 어딘가 있었는데..,강아지풀의 촉감은 부들부들해. 가지고 놀면 좀 재밌어,너무 걱정만 하는 것도 좋지 않다는 걸 깨달았어,표현은 서툴지만 조금씩 연습해서 표현한다면..,이불은 언제나 푹신해서 좋아. 집처럼 아늑하고 좋지,(작게 하품하다가 눈이 마주쳤다.),저쪽에 뭔가 지나간 거 같은데 ..음 잘못봤을 거야
51,바닥이 깨끗하진 않구나,(눈을 감고 있다.),나는 이렇게 하루하루 살고 있지 ..너는 어떻게 사는지 모르겠지만,찾으려고 하는 물건을 어디에 두었는지 기억이 안 나,세차게 부는 비바람 말고 잔잔하고 시원한 바람을 원해,병원에 가는 목적이 어떻든 가는 것은 항상 두려워,예전에는 정말 아무것도 하기 싫었는데 ..정말,밖에서 이것저것 경험을 하니까 기분이 좋은 거 같아,의미없는 하루를 보내도 나쁘지 않다고 생각해,(손을 보고 있다.) 생각해봤는데 나는 손이 작은 편인 거 같아. 불편하지는 않아
52,(무언가 들렸지만 알아듣지 못했다.),나를 좀 내버려 뒀으면 좋겠어,따뜻했던 나날을 그리워 하지 않아 ..기억나지 않거든,사람들은 인생을 꽃길만 걸으라는데 나에게는 있을 수 없는 일이야,인생에 찬란한 빛이 들 날이 언젠가는 오긴 할까?,환기를 자주 시켜줘야겠어 ..목이 안 좋아,(작게 헛기침을 했다. 내 눈치를 보는 거 같다.),거리의 사람들을 보면 다들 무엇을 생각하는지 궁금해,Z저쪽에 뭔가 지나간 거 같은데 (생각에 잠겨있다.)|봤다|뭔지 나중에 확인해줘. 나는 ..음|못 봤다|별거 아닐 거라고 생각해 ..아마도,많으면 많을수록 좋다는데 기준이 무엇인가에 따라서 달라져
53,졸리지만 자고 싶지 않아,하염없이 흘러가는 시간..,지금 이렇게 사는 것에 만족하고 있어 ..그 이상은 뭐,인형은 예전에 버렸어 둘 곳이 없었거든,거울 속에 비친 나의 모습을 보면 묘한 기분이 느껴져,비가 꼭 나쁘다는 법은 없는 거 같아,먹구름이 개듯이 내 인생의 먹구름도 언젠가 개는 날이 찾아올 거라 믿어,눈을 마주 보며 대화를 한다는 것은 기본이지만 쉽지 않지,(손을 보고 있다.) 생각해봤는데 나는 손이 작은 편인 거 같아,창밖에 새가 날아가는 소리가 들렸는데 ..기분 탓일까 진짜일까?
54,힘이 없을 때는 뭐하지,뭔가 할 말이라도 있니?,나보다 힘든 사람도 있는데 내가 불평하면 뭐가 달라지겠어,누가 나의 삶을 대신 살아 줬으면 좋겠어 ..정말,저번에 스티커를 붙이다가 실수로 반으로 접어버렸어 ..아깝게 버렸지,Z(무엇을 하고 있는지 물어볼까?)|물어본다|..그냥 숨을 쉬고 있어. 숨쉬기 운동 너도 해봐|관둔다|(조용히 숨을 쉬고 있다.)..?,Z반딧불이를 본 적이 있니?|있어|그렇구나. 책에서 본 것처럼 정말 밝을까 궁금해|없어|나도 반딧불이를 본 적이 없어. 엄청 옛날에는 존재했다는데,어릴 때 본 만화에서 주인공은 시련을 이겨내고 목적을 달성하지 ..나도 언젠가는,많으면 많을수록 좋다는데 기준이 무엇인가에 따라서 달라져,Z신문을 자주 읽는 편이니?|읽어|신문에는 다양한 정보가 담겨있어서 좋아. 종이에 담긴 냄새도 뭔가 좋고|안 읽어|어려운 용어와 글자가 많아서 손이 가는 편은 아닐거야
55,그냥 쉬고 싶어,사는 게 지루하고 재미없어. 늘 그런 거 같아,힘들어도 이겨내라고 주변에서 말하지 .내가 잘못된거고 고치면 된다고,Z삶을 대신할만한 것은 없는 걸까|있어|무엇인지 궁금하네. 한번 찾아볼 수 있을까..|없어|그렇겠지. 삶을 대신 할 것은 없을거야 ..그러니까,Z보조 바퀴 없이 두발 자전거를 탈 수 있니?|있어|나는 자전거를 그렇게 잘 타는 편은 아니라 언젠가 잘 타고 싶어|없어|나랑 같구나. 언젠가 노력하면 잘 탈 수 있을 거야,(위를 쳐다봤다가 다시 아래를 내려다봤다.),아직도 내가 읽기에 어려운 책들이 많아 ..열심히 봐야겠어,대중교통 속에서 사람들은 언제나 작은 화면만 쳐다보고 있지,열대 과일로 만든 주스가 달콤하다던데 언제 한번 마셔보고 싶어,같은 말을 듣더라도 다시 들으면 다른 느낌이 들 때가 있어. 지금도 그렇고
56,,벽지에서 퀘퀘한 냄새가 나는 거 같아,나는 잘못한 것이 있지만 잘못한 것이 없다고 할 수 있어,길 가다가 껌을 밟으면 기분이 정말 안 좋아,해가 떴는데 비가 오는 것을 여우비라고 해. 어릴 때 본 적 있어서 기억하고 있어,비행기를 타면 하늘 위에서 구름을 내려다볼 수 있겠지,(무언가를 할까 말까 망설이고 있다.),빌딩 숲에는 얼마나 많은 사람이 존재할까 궁금해,신문에는 다양한 정보가 담겨있어서 좋아. 종이 냄새도 뭔가 좋고,혹시 비를 내리게 하는 요정이 존재할까 ..상상을 한번 해봤어
57,,(자세를 둥글게 움추리고 있다.),(눈 밑에 다크서클이 얼핏 보인다 ..피곤해 보인다.),바닥이 살짝 기울어져 있는 거 같은데 ..기분탓인가,구름을 보면 그 위를 걸을 수 있을 거 같은데 실제로 그럴 수 없지 ,Z하늘 위를 새처럼 날아다니면 무슨 기분이 들까?|좋은기분|자유롭게 날아다니는 거니까 기분이 좋을지도 모르겠네|나쁜기분|완벽한 새가 아니니까 어떤 일이 벌어질지 모를 거야,밖에 나가면 더 다양한 물건을 살 수 있어서 좋아,평화로운 나날을 보내면 좋겠어. 근심 걱정 없이 평화롭게,같은 말을 듣더라도 다시 들으면 다른 느낌이 들 때가 있어,..맞아 지금 이러고 있을 때가 아니지 움직여야겠어
58,,(어색한 분위기가 흐르고 있다.),(눈이 조금 부어보인다..),푹신한 바닥에서 지내고 싶어,Z하늘 위를 새처럼 날아다니면 무슨 기분이 들까?|좋은기분|자유롭게 날아다니는 거니까 기분이 좋을지도 모르겠네|나쁜기분|완벽한 새가 아니니까 잘 모르겠네,소나기의 구름 색은 왜 까맣게 물들었을까,집에서만 할 수 있다는 것에는 제한이 큰 거 같아. 밖에서도 한다면 더 배가 되겠지,나는 이제 달라졌다고 생각했는데 아직 옛날 버릇이 남아있어,혹시 비를 내리게 하는 요정이..,피곤하면 무엇을 하든 귀찮아져 ..이겨내야겠지
59,,세상은 거의 회색빛이야. 비가 내리고 있으니까,요즘 사람들은 무엇을 하며 살고 있을까 ..궁금해,이불 속은 또 다른 집처럼 너무 푹신하고 포근해,소나기의 구름 색은 왜 까맣게 물들었을까,일이 몰려 있을 때는 잠시 쉬면서 머리를 식히는 편이 좋아,코코넛 열매로 만든 주스가 달콤하다던데 언제 한번 마셔보고 싶어,어쩔 수 없지 라는 말을 하기 전에 생각하거나 고치면 ..음,..맞아 지금 이러고 있을 때가 아니지 움직여야겠어,평화로운 나날을 보내면 좋겠어. 근심 걱정 없이 평화롭게 ..물론 쉽지는 않지만
60,,지금이 즐겁다면 지금보다 시간이 빨리 더 가겠지,얼마나 남았을까 ..오늘 하루 말이야,종이로 무언가를 만든다는 것은 어려운 일이야,일이 몰려 있을 때는 잠시 쉬면서 머리를 식히는 편이 좋아,세월이 멈춰버리면 우리들은 어떻게 될까 ..상상이 안 가,(창문을 쳐다봤다.) 너도 창문 보는 거 좋아하는구나,(조용히 같이 창문을 쳐다보고 있다.. 고요함만이 남아 있다.),피곤하면 무엇을 하든 귀찮아져 ..이겨내야겠지,나는 이제 달라졌다고 생각했는데 아직 옛날 버릇이 남아있어
61,,,저녁노을을 본다고 해도 딱히 아무 생각이 없어,천장에서 먼지가 떨어지는 기분인데 청소를 해야 하나,바쁘게 살아가고 있지만 가끔은 쉬는 편도 좋을 거 같아,추억은 점점 사라져가 고인 빗물이 마르는 것처럼 ..그리움도 희미해져가,비가 항상 나쁘다는 법은 없어. 어딘가에 생명을 주는 일이니까,지금 다시 생각해보면 아직도 네가 있다는 것이 음..,평화로운 나날을 보내면 좋겠어. 근심 걱정 없이 평화롭게,오래간만에 기분 좋은 아침을 보냈어. 내일도 그랬으면 좋겠어
62,,,밤이 되면 빗소리만 들려올 뿐.. 정말 고요한 밤이야,여기에 거울이 없어서 뭔가 아쉬운 기분이야,세월은 흐르는 강물처럼 절대 멈추지 않아,그때 그 시절을 기억하면 좋으면서도 뭔가 슬퍼,무언가를 용기 내서 행동하는 것은 힘든 일이야,Z커피를 마신다면 집에서 마실까 밖에서 마실까|집에서|간단하게 뜨거운 물을 부어서 마시면 집안 가득 향기나서 좋지|밖에서|카페에서 여유롭게 커피를 마셔보고 싶어. 커피 향이 좋으니까,나는 이제 달라졌다고 생각했는데 아직 옛날 버릇이 남아있어,배고플 때 잠을 자면 까먹지만 잠들기가 어려워
63,,,일부러 조용한 곳으로 이사를 왔어,거울 속에 비친 나의 모습을 볼때면 ..음,추억은 잊혀 가는 데 그리워져 가는 건 어쩔 수 없나 봐,Z깔끔하게 정리를 자주 하는 편이니?|자주 해|좋은 습관이라고 생각해. 너저분한 것보다 좋으니까|안 해|나도.. 저번에 정리정돈을 한다고 했는데 아직 덜 했어,누군가가 나를 싫어한다면 나는 어떻게 해야 할까. 아무리 생각해도 어려워,즐거움과 슬픔은 어쩔 수 없이 함께 공존하는 건 피할 수 없나 봐,오래간만에 기분 좋은 아침을 보냈어. 내일도 그랬으면 좋겠어,과자를 먹고 싶은 대로 많이 먹으면 건강에 안 좋을 거야. 적당히 먹어야 해
64,,,마음이 편해지는 날이 오면 좋겠어,머리를 쓰는 일은 어려운 법이야 ..언제나,이제 그때 그 시절이 어렴풋이 기억이 나,영화를 언제 봤는지 기억이 안 나지만 언젠가 보러 가겠어,내가 만약 새가 된다면 온 세상을 여행하고 싶어,점점 나는 지쳐가지만 그래도 이겨내려고 노력하고 있어,햄버거는 불고기만 있는 줄 알았는데 닭고기도 있고 새우도 있더라,어릴 때는 비가 오는 날에 물웅덩이가 고여있는 여기저기를 뛰어다니며 놀았던 기억이 나
65,,,Z이렇게라도 달라진다면 ..무슨 일이 생길까?|응|그런가. 하다 보면 알게 되겠지|아니|그렇다면 의미 없는 시간일까..,스티커를 붙이다가 실수한 적이 있어,옷을 제대로 정리를 하지 않아서 다 꾸겨졌어 ..으,요즘에는 어떤 영화가 개봉했는지 모르겠어,환기를 자주 시켜주니까 목이 좀 괜찮아진 거 같아,허리가 아프면 좀 많이 불편한 거 같아 ..열심히 운동해야겠어,과자를 먹고 싶은 대로 많이 먹으면 건강에 안 좋을 거야,옛날 사람들은 불빛이 없을 때 반딧불이를 모아서 집 안에 불을 밝혔다는데 ..진짜일까?
66,,,잠에 빨리 드는 건 정말 힘든 일이야,안 좋은 꿈은 꾸고 싶지 않아. 너도 그렇겠지,Z정리는 깔끔하게 자주 하는 편이니?|자주 해|좋은 습관이라고 생각해. 너저분한 것보다 좋으니까|안 해|나도.. 저번에 정리정돈을 한다고 했는데 아직 덜 했어,음식을 보면 배고파져.. 이야기할 때도 배고프고,그때 그 시절을 기억하니 슬퍼도 행복했으니 좋은 거 같아,어릴 때 문방구 앞에서 100원짜리 간식을 사 먹은 기억이 나 ..요즘은 이런 가격으로 못 사 먹지만,어릴 때는 비가 오는 날에 시골 마당에서 뛰어다니며 놀았던 기억이 나,저번에 마주쳤던 강아지를 쓰다듬을 기회가 생겼는데 용기가 없어서 그냥 갔었어 ..다음번엔 꼭
67,,,안 좋은 꿈은 꾸고 싶지 않아,새들은 어디에서 비를 피하고 있을까,무서운 영화를 혼자 보는 건 딱 질색이야 ..난 무서운 게 싫어,혼자인 게 편할 때도 있고 함께라서 좋은 점도 있는 거 같아,점점 환경이 개선되고 있는 게 느껴져. 좋은 삶인 걸까,비 오는 날에 음악을 들으면 더 감정이 생기는 기분이야,옛날 사람들은 불빛이 없을 때 반딧불이를 모아서 집 안에 불을 밝혔다는데 ..진짜일까?,청소를 한번 건너뛰었다가 다음날 너무 더러워서 후회한 적이 있어. 역시 바로 청소를 해야해
68,,,세상은 거의 회색빛이야. 비가 내리고 있으니까,너무 오래 고민을 하다가 뭘 고민하고 있었는지 잊어버렸어,혼자인 게 편할 때도 있고 함께라서 좋은 점도 있겠지,비 오는 날에 따뜻한 차 한잔과 함께 하루를 보내고 싶어,창문이 깔끔해지니까 창밖이 잘 보여,노래방에 안 가본 지 오래되었어. 요즘에는 작은 노래방들이 생겼다는데 ,저번에 마주쳤던 강아지를 쓰다듬을 기회가 생겼는데 용기가 없어서 그냥 갔었어 ..다음번엔 꼭,컴퓨터를 자주 한다면 손목이 아프지 않도록 항상 손목 스트레칭을 하는 것을 꼭 잊지 말렴
69,,,집 바깥에 있으면 더축축해 질거야,고양이들은 비가 오면 어디에 있을까,비 오는 날에는 따뜻한 파전과 함께 저녁을 먹고 싶어,좋은 과거는 금방 잊어 ..그래서 사람은 망각의 생물이라고 하나 보다,Z음료수를 자주 마시는 편이니?|응|너무 마시면 건강에 안 좋으니까 뭐든 적당한 게 좋아|아니|나는 과일 음료가 좋아서 가끔 마셔,과일 음료도 좋지만 무엇보다 과일을 먹는 것이 좋지,청소를 한번 건너뛰었다가 다음날 너무 더러워서 후회한 적이 있어,요즘에는 스마트폰이 있으니까 편리한 거 같아. 정보를 쉽게 찾을 수 있어서 좋아
70,,,지금이 즐겁다면 지금보다 시간이 빨리 더 가겠지,집 바깥에 있으면 더 축축해 질거야,추운 날에는 따뜻한 것을 상상하기만 해도 좋아,나쁜 과거는 그림자처럼 달라붙지.. 쉽게 잊히지 않아,행복한 추억이 잊혀가면 슬퍼지는 기분이야 ..잡을 수 없으니까,누군가에서 선물을 주는 것도 받는 것도 기분이 묘하다고 생각해,컴퓨터를 자주 한다면 손목이 아프지 않도록 항상 손목 스트레칭을 하는 것을 꼭 잊지 말렴,오늘이 있기에 내일이 존재하지. 외면해서는 안 돼
71,,,,,음식 이야기를 하면 언제나 배가 고파져 ..뭔가 먹고 싶다,사람은 누구나 잊고 싶은 기억을 가지고 있어 ..물론 나도,(창밖에서 고양이 소리가 희미하게 난다.),비가 그친 뒤의 하늘은 참 맑을 거라고 생각해. 공기도 깨끗하겠지,스마트폰을 너무 오랫동안 쳐다보면 눈 건강에 안 좋아. 가끔 쉬는 것도 좋지,예전에는 당연했던 일이 지금은  소중하다는 것을 다시 한번  느낄 때가 있어
72,,,,,과거가 있기에 현재가 존재한다고 생각해. 좋은 과거든 나쁜 과거든,나는 잘살아가고 있다고 생각해 ..나의 삶은,가슴이 뻥 뚫리는 무언가 없을까. 답답한 마음을 풀 수 있는 곳이라면 어디든,요즘 맛있는 음식을 먹을 수 있으니까 기분이 좋아,오늘이 있기에 내일이 존재하지. 외면해서는 안 돼,네가 오기 전에 한번 청소를 해두긴 했는데 ..저쪽에 먼지는 무시해줘
73,,,,,미래는 어떻게 될지 모르니까 지금의 현재가 소중하다고 생각해,(손등을 쓰다듬다가 깍지를 낀다.),산이든 계곡이든 어디로 여행 간다면 기분이 좋을 거야,겨울에도 아이스크림을 먹을 수 있지만 그다음은 ..음,요즘 잠을 자는 게 두렵지 않아. 예전에는..,밖에서 아이들이 떠드는 소리가 들려 쳐다봤는데 우비를 입고 놀고 있었어. 즐거워 보였어
74,,,,,Z삶을 대신할만한 것은 없는 걸까|있어|무엇인지 궁금하네. 한번 찾아볼 수 있으면 찾아보고 싶어|없어|그렇겠지. 삶을 대신 할 것은 없을거야 ..그럴테니까,스티커를 붙이다가 실수한 적이 있어서 이번엔 잘할 거야,아플 때 혼자 있으니까 더 아픈 느낌이었지 ..네가 있으니까 좀 나은 거 같아,스마트폰을 너무 오랫동안 쳐다보면 눈 건강에 안 좋아. 가끔 쉬는 것도 좋지,네가 오기 전에 한번 청소를 해두긴 했는데 ..저쪽에 먼지는 무시해줘,환절기에는 기온 차가 심해서 감기에 걸리기 쉬워. 그러니 언제나 몸조심하렴
75,,,,,너무 걱정만 하는 것도 좋지 않다는 걸 깨달았어,Z보조 바퀴 없이 두발 자전거를 탈 수 있니?|있어|나는 자전거를 그렇게 잘 타는 편은 아니라 언젠가 잘 타고 싶어|없어|나랑 같구나. 언젠가 노력하면 잘 탈 수 있을 거야,따뜻한 차 한잔을 마시고 싶어. 몸이 더 따뜻해질 거야,얼마 안 남았어. 이제 조금 쉬는 편이 좋다고 생각해,밖에서 아이들이 떠드는 소리가 들려 쳐다봤는데 우비를 쓰고 놀고 있었어. 즐거워 보였어,뭔가를 하기 위해서는 건강이 중요해. 정말 중요하니까 기억해줬으면 좋겠어
76,,,,,,,요리를 연습하다가 살짝 다쳤어. 심한 건 아니지만 조금 아프네,조금만 더 힘내라는 말은 응원할 때 도움이 된다고 생각해,환절기에는 기온 차가 심해서 감기에 걸리기 쉬워. 그러니 언제나 몸조심하렴,저번에 제과점을 지나쳤는데 빵 냄새가 너무 좋았어. 방향제로 쓰고 싶을 정도로
77,,,,,,,하늘을 나는 꿈을 꾸면 실제로 하늘을 날고 싶은 기분이야,누군가에게 신뢰를 준다는 것은 어렵지만 복잡하지,뭔가를 하기 위해서는 건강이 중요해. 정말 중요하니까 기억해줬으면 좋겠어,Z언젠가 인생에 밝은 날이 올 거라고 믿니?|믿어|예전에는 안 믿었는데 요즘 믿어. 비가 개는 날이 오는 것처럼 그런 날이 올 거라고 믿으니까|믿자|확신이 없지만 있을 거라고 믿자. 같이 믿어보는 것도 나쁘지 않다고 생각해
78,,,,,,,(창밖에서 작게 새소리가 들려온다.),감정이나 생각을 속에 담지 말고 표현하는 것도 중요하다고 생각해,저번에 제과점을 지나쳤는데 빵 냄새가 너무 좋았어. 먹고 싶더라,어릴 때는 솜사탕이 구름으로 만들어졌다고 생각했었어. 지금은 아니지만
79,,,,,,,(조용히 빗소리를 감상하고 있다.),배고플 때 음식을 찾아서 먹는 것이 귀찮았는데 요즘은 많이 줄어든 거 같아,(손가락으로 먼지를 가볍게 쓸고 있다.),정전이 되면 지금이나 어릴 때나 항상 무서워. 어둠 속은 아무것도 모르거든
80,,,,,,,비 오는 소리가 점점 줄어드는 건 기분 탓일까 ..정말이면 좋겠는데,밤에 하늘에서 밝은 빛을 봤는데 그게 무엇일까 하고 궁금해,어릴 때는 솜사탕이 구름으로 만들어졌다고 생각했었어 ..지금은 아니야,바다에 놀러 가면 항상 소라를 줍곤 했지. 귀에 가져다 대면 파도 소리를 느낄 수 있었어
81,,,,,,,사람마다 직접 경험한 것이 다르기에 쉽게 공감하지 않지. 나쁜 것이 아니야,요리 연습을 잘하고 있는지 확신이 안 가 ..음 잘하고 있는 거겠지..?,정전이 되면 지금이나 어릴 때나 항상 무서워. 어둠 속은 아무것도 모르거든,꽃이 조금씩 피어나면 곧 다가올 만남이 기대돼
82,,,,,,,음..나중에 같이.. 아니야,손목 스트레칭은 중요한 거야. 손이 아프면 많이 불편하니까,바다에 놀러 가면 항상 소라를 줍곤 했지. 귀에 가져다 대면 파도 소리를 느낄 수 있었어,Z회전목마 타 봤어?|응|어릴 때 부모님과 함께 놀이동산에 갔는데 그때 탔던 화려한 불빛 속의 회전목마가 기억나|아니|쳐다 만 봐도 화려한 게 회전목마인 거 같아. 밤에는 더 화려하니까 한번 보렴
83,,,,,,,나는 잘살아가고 있다고 생각해. 나의 삶은 너와 다르니까 ,세상에는 다양한 음악이 존재해. 나의 취향에 맞는 음악을 찾는 것은 어렵지만,꽃이 조금씩 피어나면 곧 다가올 만남이 기대돼,산책하면 다양한 생명을 만날 수 있어서 좋아. 고양이든 강아지든
84,,,,,,,내가 안 읽어본 책들을 읽어보고 싶어 ,내가 안 읽어본 책들을 읽기 위해서는 도서관에 가는 것이 좋겠지,Z회전목마 타 봤어?|응|어릴 때 부모님과 함께 놀이동산에 갔는데 그때 탄 회전목마가 기억나|아니|쳐다 만 봐도 화려한 게 회전목마인 거 같아,등산은 할 수는 있지만 언제나 힘든 일이야. 다리가 힘든 건 피할 수 없어
85,,,,,,,냄새를 맡았을 때는 맛있을 거 같았는데 직접 먹으니 아닌 음식도 있더라,공원에 가면 가끔 사람들이 강아지와 산책을 하는 모습을 볼 때가 있어,Z동물 중에 강아지 좋아하니?|좋아|산책하다가 작은 강아지를 봤는데 정말 귀여웠어|별로|딱히 좋아하지 않는 사람도 있어. 사람마다 다르니까,표현은 서툴지만 조금씩 연습해서 표현한다면 언젠가 잘 표현하는 날이 오겠지?
86,,,,,,,종이가 있으면 필요한 것을 적을 수 있어서 좋은 거 같아,저번에 길을 가다가 아기와 눈이 마주쳐서 인사했었어,등산하고 싶지만 체력이 부족해서 힘들 거 같아. 체력을 키워야겠어,예전에는 정말 아무것도 하기 싫었는데 요즘은 그런 생각을 안 한 지 오래된 거 같아
87,,,,,,,전단지에 배달음식만 시켜 먹은 게 엊그제 같은데 ..시간이 참,Z더울 때 얼음을 먹어 본 적이 있니?|있어|더운 여름날 얼음을 너무 먹어서 머리가 띵한 적이 있어. 그 후로 조심히 먹지|없어|아무리 더워도 찬 것을 별로 안 먹는 사람도 있지. 팥빙수라면 괜찮을지도?,Z야경에 대해 어떻게 생각하니|좋아|밤에 야경은 언제 봐도 아름다운 거 같아. 금방 싫증 나지 않아|별로|늦은 밤까지 사람들이 계속 있는 거니까 ..보기에는 화려해도,위층은 잠자기 좋은 장소야. 빗소리를 들으며 잠을 자면 잠이 더 잘 오는 기분이 들거든
